ts,x,y,yaw,t
1772875666.024087,1.404,1.833,1.475,30.50014305114746
1772875666.12472,1.404,1.833,1.475,30.600776195526123
1772875666.2246952,1.407,1.838,1.48,30.700751304626465
1772875666.3244028,1.411,1.845,1.485,30.800458908081055
1772875666.4237688,1.41,1.849,1.484,30.899824857711792
1772875666.5246735,1.415,1.86,1.476,31.00072956085205
1772875666.624196,1.417,1.865,1.479,31.100252151489258
1772875666.7249787,1.419,1.872,1.489,31.201034784317017
1772875666.8243065,1.421,1.879,1.487,31.300362586975098
1772875666.925178,1.422,1.884,1.493,31.40123414993286
1772875667.0243874,1.426,1.888,1.497,31.50044345855713
1772875667.1244564,1.426,1.893,1.499,31.600512504577637
1772875667.2240927,1.431,1.896,1.496,31.700148820877075
1772875667.3239038,1.432,1.898,1.487,31.799959897994995
1772875667.4239283,1.433,1.9,1.487,31.89998435974121
1772875667.5238986,1.437,1.905,1.484,31.99995470046997
1772875667.6239126,1.438,1.908,1.484,32.099968671798706
1772875667.7241497,1.442,1.913,1.484,32.20020580291748
1772875667.8240275,1.447,1.918,1.482,32.30008363723755
1772875667.9242191,1.452,1.923,1.485,32.400275230407715
1772875668.0246212,1.454,1.928,1.485,32.50067734718323
1772875668.1240468,1.458,1.933,1.483,32.60010290145874
1772875668.2240937,1.463,1.937,1.48,32.70014977455139
1772875668.3244085,1.467,1.943,1.481,32.80046463012695
1772875668.4243202,1.47,1.949,1.48,32.900376319885254
1772875668.524037,1.475,1.954,1.478,33.00009298324585
1772875668.6251853,1.479,1.958,1.48,33.10124135017395
1772875668.7241485,1.479,1.963,1.481,33.200204610824585
1772875668.8246343,1.482,1.97,1.476,33.30069041252136
1772875668.924106,1.485,1.975,1.481,33.40016198158264
1772875669.024382,1.486,1.981,1.483,33.50043821334839
1772875669.1248345,1.49,1.984,1.481,33.60089063644409
1772875669.2244983,1.492,1.989,1.483,33.70055437088013
1772875669.323993,1.5,1.995,1.486,33.80004906654358
1772875669.4240537,1.503,1.998,1.487,33.90010976791382
1772875669.5245051,1.509,2.004,1.489,34.000561237335205
1772875669.6253843,1.516,2.011,1.49,34.1014404296875
1772875669.724122,1.522,2.016,1.493,34.200178146362305
1772875669.8295715,1.523,2.018,1.491,34.3056275844574
1772875669.9242935,1.527,2.023,1.493,34.400349617004395
1772875670.024372,1.532,2.026,1.489,34.500428199768066
1772875670.1241956,1.535,2.03,1.491,34.6002516746521
1772875670.224442,1.54,2.033,1.493,34.70049810409546
1772875670.3238885,1.545,2.038,1.492,34.79994463920593
1772875670.4240272,1.547,2.039,1.491,34.90008330345154
1772875670.524319,1.552,2.043,1.492,35.00037503242493
1772875670.6241198,1.555,2.049,1.492,35.100175857543945
1772875670.7243667,1.558,2.052,1.493,35.20042276382446
1772875670.824319,1.564,2.057,1.484,35.30037498474121
1772875670.9241295,1.569,2.061,1.486,35.40018558502197
1772875671.0246232,1.576,2.067,1.484,35.50067925453186
1772875671.1240492,1.582,2.072,1.485,35.60010528564453
1772875671.2249854,1.589,2.078,1.486,35.70104146003723
1772875671.3242254,1.594,2.082,1.483,35.8002815246582
1772875671.4238558,1.598,2.085,1.485,35.899911880493164
1772875671.52393,1.604,2.09,1.487,35.99998617172241
1772875671.6240287,1.605,2.092,1.484,36.10008478164673
1772875671.7240524,1.612,2.097,1.484,36.20010852813721
1772875671.8238819,1.617,2.101,1.481,36.29993796348572
1772875671.923847,1.623,2.106,1.477,36.39990305900574
1772875672.0239015,1.63,2.11,1.48,36.49995756149292
1772875672.1238887,1.634,2.108,1.472,36.599944829940796
1772875672.2246208,1.644,2.115,1.468,36.700676918029785
1772875672.3243,1.649,2.116,1.474,36.80035614967346
1772875672.4244585,1.652,2.115,1.463,36.90051460266113
1772875672.5246346,1.661,2.118,1.456,37.00069069862366
1772875672.6242154,1.671,2.119,1.456,37.100271463394165
1772875672.7238054,1.677,2.121,1.446,37.19986152648926
1772875672.8244152,1.687,2.123,1.445,37.30047130584717
1772875672.9241836,1.695,2.124,1.447,37.40023970603943
