ts,can_id,goal,speedmode,t
1772875682.3884315,4,-9.615682544197373,True,4.401309490203857
1772875682.4833863,1,-2.6062992125984255,True,4.496264219284058
1772875682.484974,2,-4.403084119000523,True,4.497851848602295
1772875682.4866264,3,2.6062992125984255,True,4.499504327774048
1772875682.4883564,4,-9.615682544197373,True,4.501234292984009
1772875682.5832303,1,-2.6062992125984255,True,4.5961081981658936
1772875682.5850604,2,-4.403084119000523,True,4.597938299179077
1772875682.586678,3,2.6062992125984255,True,4.599555969238281
1772875682.5881646,4,-9.615682544197373,True,4.6010425090789795
1772875682.6834693,1,-2.6062992125984255,True,4.696347236633301
1772875682.685238,2,-4.403084119000523,True,4.698115825653076
1772875682.6876528,3,2.6062992125984255,True,4.700530767440796
1772875682.6893709,4,-9.615682544197373,True,4.702248811721802
1772875682.7833111,1,-2.6062992125984255,True,4.796189069747925
1772875682.7849422,2,-4.403084119000523,True,4.797820091247559
1772875682.7865698,3,2.6062992125984255,True,4.799447774887085
1772875682.7883155,4,-9.615682544197373,True,4.801193475723267
1772875682.8840134,1,-2.6062992125984255,True,4.896891355514526
1772875682.8858643,2,-4.403084119000523,True,4.898742198944092
1772875682.8878152,3,2.6062992125984255,True,4.90069317817688
1772875682.8894475,4,-9.615682544197373,True,4.902325391769409
1772875682.9832225,1,-2.6062992125984255,True,4.996100425720215
1772875682.9848962,2,-4.403084119000523,True,4.997774124145508
1772875682.9865594,3,2.6062992125984255,True,4.99943733215332
1772875682.9881732,4,-9.615682544197373,True,5.001051187515259
1772875683.0833178,1,-2.6062992125984255,True,5.096195697784424
1772875683.085028,2,-4.403084119000523,True,5.097905874252319
1772875683.0866556,3,2.6062992125984255,True,5.099533557891846
1772875683.0884354,4,-9.615682544197373,True,5.101313352584839
1772875683.1846075,1,-2.6062992125984255,True,5.197485446929932
1772875683.1864889,2,-4.403084119000523,True,5.199366807937622
1772875683.1881855,3,2.6062992125984255,True,5.201063394546509
1772875683.190882,4,-9.615682544197373,True,5.2037599086761475
1772875683.283539,1,-2.6062992125984255,True,5.296416997909546
1772875683.2852278,2,-4.403084119000523,True,5.298105716705322
1772875683.2868142,3,2.6062992125984255,True,5.299692153930664
1772875683.2887013,4,-9.615682544197373,True,5.301579236984253
1772875683.383297,1,-2.6062992125984255,True,5.396174907684326
1772875683.3848956,2,-4.403084119000523,True,5.397773504257202
1772875683.3868735,3,2.6062992125984255,True,5.399751424789429
1772875683.3886786,4,-9.615682544197373,True,5.401556491851807
1772875683.483299,1,-2.6062992125984255,True,5.4961769580841064
1772875683.484937,2,-4.403084119000523,True,5.497814893722534
1772875683.4865336,3,2.6062992125984255,True,5.499411582946777
1772875683.488366,4,-9.615682544197373,True,5.501243829727173
1772875683.583542,1,-2.6062992125984255,True,5.596420049667358
1772875683.5851958,2,-4.403084119000523,True,5.598073720932007
1772875683.5868075,3,2.6062992125984255,True,5.599685430526733
